start_node,end_node,interaction
BCL2,BAK/BAX,-
BAK/BAX,Apoptosis,+
BCL2L11,BAK/BAX,+
BCL2L11,BCL2,-
MAP3K7,IKK-complex,+
MAP3K7,IKBKG,+
IKK-complex,FOXO3,-
IKK-complex,NFKBIA,-
IKK-complex,BAD,-
IKBKG,IKK-complex,+
NFKBIA,NfKb-p65/p50,-
NfKb-p65/p50,Survival,+
FOXO3,Apoptosis,+
FOXO3,BCL2L11,+
CREB1,Survival,+
CREB1,BCL2,+
AKT,Survival,+
AKT,FOXO3,-
AKT,BAD,-
MEK1/2,ERK1/2,+
ERK1/2,BCL2,+
ERK1/2,BRAF,-
ERK1/2,RPS6KA1,+
BRAF,MEK1/2,+
Survival_factors,GRB2,+
Survival_factors,BAD,-
GRB2,SOS1,+
CASP3,NFKBIA,+
CASP3,BAD,+
CASP3,CASP9,+
SOS1,NRAS,+
TNF,TNFRSF1A,+
TNFRSF1A,TRADD,+
TRADD,TRAF2,+
TRAF2,MAP3K7,+
FOXO1,BCL2L11,+
BAD,BCL2,-
RPS6KA1,BAD,-
RPS6KA1,CREB1,+
NRAS,BRAF,+
XIAP,CASP7,-
XIAP,CASP3,-
XIAP,CASP9,-
CASP9,CASP3,+
